david coliqueo fuentealba | member | Carabineros de Chile
marianela cifuentes alarcon | was present at | isla de maipo
lorena pizarro | was present at | cementerio parroquial de isla de maipo
abraham santibanez | was present at | lonquen
enrique alvear | was present at | lonquen
cristian precht | was present at | lonquen
javier egana | was present at | lonquen
alejandro gonzalez | was present at | lonquen
maximo pacheco | was present at | lonquen
jaime martinez | was present at | lonquen
adolfo banados cuadra | was present at | isla de maipo
lautaro eugenio castro mendoza | was present at | isla de maipo
gonzalo salazar | was present at | isla de maipo
hector solis | was present at | cementerio parroquial de isla de maipo
marcelo ivan castro mendoza | was present at | tenencia de carabineros isla de maipo
david coliqueo peralta | was present at | tenencia de carabineros isla de maipo
pablo nancupil raquileo | was present at | tenencia de carabineros isla de maipo
justo ignacio romo peralta | was present at | tenencia de carabineros isla de maipo
felix hector sagredo aravena | was present at | tenencia de carabineros isla de maipo
jacinto r. torres gonzalez | was present at | tenencia de carabineros isla de maipo
juan jose villegas navarro | was present at | tenencia de carabineros isla de maipo
lautaro eugenio castro mendoza | was present at | tenencia de carabineros isla de maipo
cristian precht | was present at | cerro chena
adolfo banados cuadra | was present at | lonquen
luis navarro | was present at | lonquen
marisela santibanez | was present at | lonquen
lorena pizarro | was present at | lonquen
haydee oberreuter | was present at | lonquen
carlos maureira | was present at | lonquen
enrique alvear | was present at | lonquen
cristian precht | was present at | lonquen
javier egana | was present at | lonquen
alejandro gonzalez | was present at | lonquen
maximo pacheco | was present at | lonquen
jaime martinez | was present at | lonquen
abraham santibanez | was present at | lonquen
israel borquez | was present at | lonquen
juana godoy | was present at | lonquen
gonzalo aguirre | was present at | lonquen
luis navarro | was present at | lonquen
adolfo banados cuadra | was present at | lonquen
lautaro eugenio castro mendoza | was present at | lonquen
lautaro eugenio castro mendoza | was present at | isla de maipo
lautaro eugenio castro mendoza | was present at | lonquen
abraham santibanez | was present at | hornos de lonquen
sergio diez | was present at | lonquen
miguel angel arturo brant bustamante | was present at | isla de maipo
jose manuel herrera villegas | was present at | isla de maipo
manuel jesus navarro salinas | was present at | isla de maipo
ivan gerardo ordonez lama | was present at | isla de maipo
sergio adrian maureira lillo | was present at | fundo naguayan
carlos segundo hernandez flores | was present at | calle la ballica n° 12
nelson hernandez flores | was present at | calle la ballica n° 12
oscar nibaldo hernandez flores | was present at | calle la ballica n° 12
ignacio del carmen vergara guajardo | was present at | calle la ballica n° 12
rodolfo antonio maureira munoz | was present at | fundo naguayan
sergio miguel maureira munoz | was present at | fundo naguayan
jose manuel maureira munoz | was present at | fundo naguayan
segundo armando maureira munoz | was present at | fundo naguayan
enrique astudillo alvarez | was present at | fundo naguayan
omar astudillo rojas | was present at | fundo naguayan
ramon astudillo rojas | was present at | fundo naguayan
lautaro eugenio castro mendoza | was present at | lonquen
juan j. villegas navarro | was present at | lonquen
felix hector sagredo aravena | was present at | lonquen
manuel munoz rencoret | was present at | lonquen
jacinto r. torres gonzalez | was present at | lonquen
david coliqueo fuentealba | was present at | lonquen
jose belmar sepulveda | was present at | lonquen
justo ignacio romo peralta | was present at | lonquen
gonazalo salazar | was present at | lonquen
sergio fernandez | was present at | isla de maipo
marcelo ivan castro mendoza | was present at | isla de maipo
david coliqueo peralta | was present at | isla de maipo
pablo nancupil raquileo | was present at | isla de maipo
justo ignacio romo peralta | was present at | isla de maipo
felix hector sagredo aravena | was present at | isla de maipo
jacinto r. torres gonzalez | was present at | isla de maipo
juan jose villegas navarro | was present at | isla de maipo
marianela cifuentes alarcon | was present at | isla de maipo
david coliqueo fuentealba | was present at | isla de maipo
pablo nancupil raguileo | was present at | isla de maipo
marianela cifuentes alarcon | was present at | lonquen
marcelo ivan castro mendoza | was present at | lonquen
juan jose villegas navarro | was present at | lonquen
pablo nancupil raguileo | was present at | lonquen
gonzalo salazar | was present at | lonquen
sergio fernandez | was present at | lonquen
sergio adrian maureira lillo | was present at | lonquen
adriana sottovia | was present at | lonquen
jose auth | was present at | lonquen
Carabineros de Chile | cause of | arrest of miguel brant
arrest of miguel brant | occurs at | isla de maipo
carabineros | affected by | arrest of miguel brant
case dismissal | occurs at | isla de maipo
prison order | occurs at | isla de maipo
justo ignacio romo peralta | cause of | prison order
jose belmar sepulveda | cause of | prison order
david coliqueo fuentealba | cause of | prison order
jacinto r. torres gonzalez | cause of | prison order
dynamiting of ovens | occurs at | lonquen
cristian precht | cause of | disappearance case
Vicaria de la Solidaridad | cause of | disappearance case
disappearance case | occurs at | lonquen
abraham santibanez | affected by | disappearance case
jaime martinez | affected by | disappearance case
maximo pacheco | affected by | disappearance case
alejandro gonzalez | affected by | disappearance case
javier egana | affected by | disappearance case
enrique alvear | affected by | disappearance case
sergio diez | affected by | disappearance case
Vicaria de la Solidaridad | cause of | establishment of commission
cristian precht | cause of | establishment of commission
establishment of commission | occurs at | lonquen
Ministerio de Justicia | affected by | Supreme Court investigation
Supreme Court investigation | occurs at | santiago
adolfo banados cuadra | cause of | Supreme Court investigation
Corte Suprema | affected by | formal complaint filed
formal complaint filed | occurs at | santiago
israel borquez | affected by | formal complaint filed
segundo armando maureira munoz | affected by | arrest of sergio maureira
omar astudillo rojas | affected by | arrest of sergio maureira
carabineros | cause of | arrest of sergio maureira
ramon astudillo rojas | affected by | arrest of sergio maureira
enrique astudillo alvarez | affected by | arrest of sergio maureira
jose manuel maureira munoz | affected by | arrest of sergio maureira
arrest of sergio maureira | occurs at | fundo naguayan
sergio miguel maureira munoz | affected by | arrest of sergio maureira
rodolfo antonio maureira munoz | affected by | arrest of sergio maureira
manuel munoz rencoret | affected by | prison order
david coliqueo fuentealba | cause of | court ruling
justo ignacio romo peralta | cause of | court ruling
felix hector sagredo aravena | cause of | court ruling
jacinto r. torres gonzalez | cause of | court ruling
juan jose villegas navarro | cause of | court ruling
pablo nancupil raguileo | cause of | court ruling
lorena pizarro | affected by | court ruling
nelson caucoto | affected by | court ruling
marianela cifuentes alarcon | cause of | court ruling
abraham santibanez | affected by | bodies discovered
enrique alvear | unspecified | Supreme Court investigation
cristian precht | unspecified | Supreme Court investigation
javier egana | unspecified | Supreme Court investigation
alejandro gonzalez | unspecified | Supreme Court investigation
maximo pacheco | unspecified | Supreme Court investigation
jaime martinez | unspecified | Supreme Court investigation
adolfo banados cuadra | cause of | military prosecutor's action
gonzalo salazar | affected by | remains identification
hector solis | affected by | remains identification
marcelo ivan castro mendoza | cause of | disappearance case
david coliqueo peralta | cause of | disappearance case
pablo nancupil raquileo | cause of | disappearance case
justo ignacio romo peralta | cause of | disappearance case
felix hector sagredo aravena | cause of | disappearance case
jacinto r. torres gonzalez | cause of | disappearance case
juan jose villegas navarro | cause of | disappearance case
lautaro eugenio castro mendoza | unspecified | disappearance case
adolfo banados cuadra | cause of | disappearance case
adolfo banados cuadra | cause of | arrests of men and women
marcelo ivan castro mendoza | cause of | arrests of men and women
david coliqueo peralta | cause of | arrests of men and women
pablo nancupil raquileo | cause of | arrests of men and women
justo ignacio romo peralta | cause of | arrests of men and women
felix hector sagredo aravena | cause of | arrests of men and women
jacinto r. torres gonzalez | cause of | arrests of men and women
juan jose villegas navarro | cause of | arrests of men and women
carlos contreras | affected by | memorial of lonquen massacre
luis navarro | cause of | memorial of lonquen massacre
marisela santibanez | affected by | memorial of lonquen massacre
lorena pizarro | affected by | memorial of lonquen massacre
haydee oberreuter | affected by | memorial of lonquen massacre
carlos maureira | affected by | memorial of lonquen massacre
enrique alvear | cause of | establishment of commission
javier egana | cause of | establishment of commission
alejandro gonzalez | cause of | establishment of commission
maximo pacheco | cause of | establishment of commission
jaime martinez | cause of | establishment of commission
abraham santibanez | cause of | establishment of commission
juana godoy | cause of | investigation confirmation
lautaro eugenio castro mendoza | affected by | case dismissal
lautaro eugenio castro mendoza | affected by | court confirmation
abraham santibanez | affected by | discovery of remains
david coliqueo fuentealba | affected by | arrest of miguel brant
justo ignacio romo peralta | affected by | arrest of miguel brant
felix hector sagredo aravena | affected by | arrest of miguel brant
jacinto r. torres gonzalez | affected by | arrest of miguel brant
juan jose villegas navarro | affected by | arrest of miguel brant
pablo nancupil raguileo | affected by | arrest of miguel brant
miguel angel arturo brant bustamante | affected by | arrest of miguel brant
jose manuel herrera villegas | affected by | arrest of miguel brant
manuel jesus navarro salinas | affected by | arrest of miguel brant
ivan gerardo ordonez lama | affected by | arrest of miguel brant
sergio adrian maureira lillo | affected by | arrest of sergio maureira
carlos segundo hernandez flores | affected by | arrest at calle La Ballica
nelson hernandez flores | affected by | arrest at calle La Ballica
oscar nibaldo hernandez flores | affected by | arrest at calle La Ballica
ignacio del carmen vergara guajardo | affected by | arrest at calle La Ballica
miguel angel arturo brant bustamante | affected by | murder of several detainees
jose manuel herrera villegas | affected by | murder of several detainees
manuel jesus navarro salinas | affected by | murder of several detainees
ivan gerardo ordonez lama | affected by | murder of several detainees
sergio adrian maureira lillo | affected by | murder of several detainees
carlos segundo hernandez flores | affected by | murder of several detainees
nelson hernandez flores | affected by | murder of several detainees
oscar nibaldo hernandez flores | affected by | murder of several detainees
ignacio del carmen vergara guajardo | affected by | murder of several detainees
rodolfo antonio maureira munoz | affected by | murder of several detainees
sergio miguel maureira munoz | affected by | murder of several detainees
jose manuel maureira munoz | affected by | murder of several detainees
segundo armando maureira munoz | affected by | murder of several detainees
enrique astudillo alvarez | affected by | murder of several detainees
omar astudillo rojas | affected by | murder of several detainees
ramon astudillo rojas | affected by | murder of several detainees
marianela cifuentes alarcon | cause of | sentencing of carabineros
marianela cifuentes alarcon | cause of | court confirmation of sentencing
marcelo ivan castro mendoza | affected by | sentencing of carabineros
david coliqueo fuentealba | affected by | sentencing of carabineros
justo ignacio romo peralta | affected by | sentencing of carabineros
felix hector sagredo aravena | affected by | sentencing of carabineros
jacinto r. torres gonzalez | affected by | sentencing of carabineros
juan jose villegas navarro | affected by | sentencing of carabineros
pablo nancupil raguileo | affected by | court confirmation of sentencing
juana godoy | affected by | investigation initiation
gonzalo aguirre | affected by | investigation initiation
luis navarro | affected by | investigation initiation
lautaro eugenio castro mendoza | cause of | military indictment
juan jose villegas navarro | cause of | military indictment
felix hector sagredo aravena | cause of | military indictment
manuel munoz rencoret | cause of | military indictment
jacinto r. torres gonzalez | cause of | military indictment
david coliqueo fuentealba | cause of | military indictment
jose belmar sepulveda | cause of | military indictment
justo ignacio romo peralta | cause of | military indictment
adriana sottovia | affected by | prosecution announcement
juan j. villegas navarro | affected by | prison order
prison order | occurs at | santiago
carabineros | unspecified | prison order
lautaro eugenio castro mendoza | affected by | prison order
felix hector sagredo aravena | affected by | prison order
cementerio parroquial de isla de maipo | is contained in | isla de maipo
tenencia de carabineros isla de maipo | is contained in | isla de maipo
lonquen | is contained in | polvorin de talagante
santiago | is contained in | argentina
hornos de lonquen | is contained in | lonquen
fundo naguayan | is contained in | isla de maipo
calle la ballica n° 12 | is contained in | fundo naguayan
public wake | occurs at | isla de maipo
solemn burial | occurs at | cementerio parroquial de isla de maipo
court ruling | occurs at | lonquen
arrest of victims | occurs at | isla de maipo
bodies discovered | occurs at | lonquen
military prosecutor's action | occurs at | estadio nacional
remains identification | occurs at | san miguel
public wake | occurs at | municipalidad de isla de maipo
burial of victims | occurs at | cementerio parroquial de isla de maipo
sentencing of carabineros | occurs at | santiago
arrests of men and women | occurs at | tenencia de carabineros isla de maipo
memorial of lonquen massacre | occurs at | lonquen
investigation confirmation | occurs at | lonquen
teens discovered | occurs at | lonquen
military investigation transferred | occurs at | santiago
court confirmation | occurs at | isla de maipo
discovery of remains | occurs at | hornos de lonquen
arrest at calle La Ballica | occurs at | calle la ballica n° 12
murder of several detainees | occurs at | lonquen
court confirmation | occurs at | lonquen
memorial opposition | occurs at | lonquen
sentencing of carabineros | occurs at | san miguel
court confirmation of sentencing | occurs at | santiago
investigation initiation | occurs at | lonquen
historical findings | occurs at | santiago
military justice transfer | occurs at | santiago
military indictment | occurs at | lonquen
amnesty decree | occurs at | lonquen
court confirmation | occurs at | lonquen
landfill proposal | occurs at | lonquen
prosecution announcement | occurs at | isla de maipo
Carabineros de Chile | if part of | Corte Suprema
Corte de Apelaciones de Santiago | if part of | Corte Suprema
Instituto Medico Legal | if part of | Corte Suprema
Municipalidad de Isla de Maipo | if part of | Corte Suprema
Vicaria de la Solidaridad | if part of | carabineros
carabineros | if part of | Corte Suprema
Empresa Metropolitana de Residuos Solidos | if part of | carabineros
Comision de Abogados por la Democracia | if part of | naciones unidas
Vicaria de la Solidaridad | if part of | naciones unidas
Corte Suprema | cause of | court ruling
Carabineros de Chile | affected by | court ruling
Agrupacion de Familiares de Detenidos Desaparecidos | affected by | court ruling
carabineros | cause of | arrest of victims
Corte Suprema | affected by | Supreme Court investigation
carabineros | affected by | military prosecutor's action
carabineros | affected by | sentencing of carabineros
Vicaria de la Solidaridad | cause of | Supreme Court investigation
Museo de la Memoria | cause of | remains identification
Municipalidad de Isla de Maipo | cause of | public wake
Municipalidad de Isla de Maipo | cause of | burial of victims
carabineros | cause of | arrests of men and women
corporacion memoria lonquen | cause of | memorial of lonquen massacre
Vicaria de la Solidaridad | affected by | memorial of lonquen massacre
orquesta de instrumentos autoctonos y nuevas tecnologia | unspecified | memorial of lonquen massacre
Vicaria de la Solidaridad | cause of | formal complaint filed
Instituto Medico Legal | affected by | investigation confirmation
carabineros | cause of | teens discovered
carabineros | affected by | military investigation transferred
carabineros | cause of | arrest at calle La Ballica
carabineros | cause of | murder of several detainees
Empresa Metropolitana de Residuos Solidos | unspecified | memorial opposition
Partido Por la Democracia | affected by | memorial opposition
Carabineros de Chile | affected by | sentencing of carabineros
Carabineros de Chile | affected by | court confirmation of sentencing
corte de apelaciones de san miguel | affected by | sentencing of carabineros
corte de apelaciones de san miguel | affected by | court confirmation of sentencing
carabineros | unspecified | historical findings
Fiscal Militar | cause of | military indictment
Fiscal Militar | cause of | amnesty decree
Fiscal Militar | affected by | court confirmation
Partido Por la Democracia | affected by | landfill proposal
