david coliqueo fuentealba | member | carabineros de chile
corte marcial | cause of | court confirmation
vicaria de la solidaridad | cause of | lonquen commission
carabineros | cause of | plaza arrest
tenencia de isla de maipo | cause of | plaza arrest
carabineros | cause of | maureira arrest
tenencia de isla de maipo | cause of | maureira arrest
carabineros | cause of | ballica arrest
tenencia de isla de maipo | cause of | ballica arrest
carabineros | cause of | maureira bros arrest
tenencia de isla de maipo | cause of | maureira bros arrest
carabineros | cause of | family arrest
tenencia de isla de maipo | cause of | family arrest
carabineros | cause of | astudillo arrest
tenencia de isla de maipo | cause of | astudillo arrest
carabineros | cause of | police abuse
tenencia de isla de maipo | cause of | police abuse
carabineros | cause of | lonquen massacre
tenencia de isla de maipo | cause of | lonquen massacre
corte marcial | unspecified | court confirmation
instituto medico legal | unspecified | mass detainee death
carabineros de chile | affected by | carabineros sentencing
corte de apelaciones de san miguel | unspecified | carabineros sentencing
corte suprema | unspecified | suprema confirmation
emol | unspecified | carabineros sentencing
el mercurio | unspecified | carabineros sentencing
radio uchile | unspecified | suprema confirmation
naciones unidas | unspecified | united nations speech
revista que pasa | unspecified | lonquen commission
revista hoy | unspecified | lonquen commission
corte marcial | cause of | corte confirmation
corte de apelaciones de san miguel | cause of | judicial accusation
david coliqueo fuentealba | was present at | isla de maipo
justo romo peralta | was present at | isla de maipo
felix sagredo aravena | was present at | isla de maipo
jacinto torres gonzalez | was present at | isla de maipo
juan villegas navarro | was present at | isla de maipo
pablo nancupil raguileo | was present at | isla de maipo
abraham santibanez | was present at | hornos de lonquen
abraham santibanez | was present at | lonquen
enrique alvear | was present at | lonquen
cristian precht | was present at | lonquen
javier egana | was present at | lonquen
alejandro gonzalez | was present at | lonquen
maximo pacheco | was present at | lonquen
jaime martinez | was present at | lonquen
luis navarro | was present at | lonquen fuente
marisela santibanez | was present at | lonquen fuente
lorena pizarro | was present at | lonquen fuente
haydee oberreuter | was present at | lonquen fuente
carlos maureira | was present at | lonquen fuente
cristian precht | was present at | lonquen
enrique alvear | was present at | lonquen
javier egana | was present at | lonquen
alejandro gonzalez | was present at | lonquen
maximo pacheco | was present at | lonquen
jaime martinez | was present at | lonquen
abraham santibanez | was present at | lonquen
gonzalo aguirre | was present at | lonquen
luis navarro | was present at | lonquen
luis navarro | was present at | el triunfador
lautaro castro mendoza | was present at | isla de maipo
sergio maureira lillo | was present at | isla de maipo
oscar hernandez flores | was present at | isla de maipo
enrique astudillo alvarez | was present at | isla de maipo
miguel brant benavente | was present at | isla de maipo
ivan ordonez lama | was present at | isla de maipo
jose manuel herrera villegas | was present at | isla de maipo
manuel navarro salinas | was present at | isla de maipo
miguel bustamante | was present at | plaza de isla de maipo
jose villegas | was present at | plaza de isla de maipo
manuel salinas | was present at | plaza de isla de maipo
ivan lama | was present at | plaza de isla de maipo
sergio maureira lillo | was present at | casa de sergio adrian maureira lillo
carlos hernandez flores | was present at | inmueble de calle la ballica n° 12
nelson hernandez flores | was present at | inmueble de calle la ballica n° 12
oscar hernandez flores | was present at | inmueble de calle la ballica n° 12
ignacio guajardo | was present at | inmueble de calle la ballica n° 12
rodolfo maureira munoz | was present at | inmuebles de rodolfo antonio maureira munoz y sergio miguel maureira munoz
sergio maureira munoz | was present at | inmuebles de rodolfo antonio maureira munoz y sergio miguel maureira munoz
jose manuel maureira munoz | was present at | casa de la familia maureira en el fundo naguayan
segundo maureira munoz | was present at | casa de la familia maureira en el fundo naguayan
enrique astudillo alvarez | was present at | fundo naguayan
omar astudillo rojas | was present at | fundo naguayan
ramon astudillo rojas | was present at | fundo naguayan
enrique astudillo alvarez | was present at | localidad de lonquen
omar astudillo rojas | was present at | localidad de lonquen
ramon astudillo rojas | was present at | localidad de lonquen
miguel bustamante | was present at | localidad de lonquen
carlos hernandez flores | was present at | localidad de lonquen
nelson hernandez flores | was present at | localidad de lonquen
oscar hernandez flores | was present at | localidad de lonquen
jose villegas | was present at | localidad de lonquen
sergio maureira lillo | was present at | localidad de lonquen
jose manuel maureira munoz | was present at | localidad de lonquen
rodolfo maureira munoz | was present at | localidad de lonquen
segundo maureira munoz | was present at | localidad de lonquen
sergio maureira munoz | was present at | localidad de lonquen
manuel salinas | was present at | localidad de lonquen
ivan lama | was present at | localidad de lonquen
enrique astudillo alvarez | was present at | hornos de cal
omar astudillo rojas | was present at | hornos de cal
ramon astudillo rojas | was present at | hornos de cal
miguel bustamante | was present at | hornos de cal
carlos hernandez flores | was present at | hornos de cal
nelson hernandez flores | was present at | hornos de cal
oscar hernandez flores | was present at | hornos de cal
jose villegas | was present at | hornos de cal
sergio maureira lillo | was present at | hornos de cal
jose manuel maureira munoz | was present at | hornos de cal
rodolfo maureira munoz | was present at | hornos de cal
segundo maureira munoz | was present at | hornos de cal
sergio maureira munoz | was present at | hornos de cal
manuel salinas | was present at | hornos de cal
ivan lama | was present at | hornos de cal
marcelo ivan castro mendoza | was present at | plaza de isla de maipo
david coliqueo peralta | was present at | plaza de isla de maipo
pablo nancupil raquileo | was present at | plaza de isla de maipo
justo romo peralta | was present at | plaza de isla de maipo
felix sagredo aravena | was present at | plaza de isla de maipo
jacinto torres gonzalez | was present at | plaza de isla de maipo
juan villegas navarro | was present at | plaza de isla de maipo
marianela cifuentes alarcon | was present at | san miguel
marcelo ivan castro mendoza | was present at | isla de maipo
marcelo ivan castro mendoza | was present at | lonquen
david coliqueo fuentealba | was present at | isla de maipo
david coliqueo fuentealba | was present at | lonquen
justo romo peralta | was present at | isla de maipo
justo romo peralta | was present at | lonquen
felix sagredo aravena | was present at | isla de maipo
felix sagredo aravena | was present at | lonquen
jacinto torres gonzalez | was present at | isla de maipo
jacinto torres gonzalez | was present at | lonquen
juan villegas navarro | was present at | isla de maipo
juan villegas navarro | was present at | lonquen
pablo nancupil raguileo | was present at | isla de maipo
pablo nancupil raguileo | was present at | lonquen
juana godoy | was present at | lonquen
lautaro castro mendoza | was present at | lonquen
manuel munoz rencoret | was present at | lonquen
jose belmar sepulveda | was present at | lonquen
sergio maureira lillo | was present at | lonquen
adriana sottovia | was present at | san miguel
jose auth | was present at | lonquen
