hombre detenido en noviembre de 1975 | affected by | dina
jorge rogelio marin rossel | member | juventud socialista
william robert millar sanhueza | member | partido socialista
carlos forestier haensen | chief | empresa portuaria de chile
erick claussen sparenberg | chief | sifa
nelson jose marquez | affected by | ejercito
hugo dolmestch | chief | corte suprema
carlos kunsemuller | chief | corte suprema
lamberto cisternas | chief | corte suprema
manuel antonio valderrama | chief | corte suprema
jorge dahm | chief | corte suprema
atiliano hernandez | affected by | carabineros
erick claussen sparenberg | chief | servicio de inteligencia de la fuerza aerea
luis pino soto | affected by | servicio de inteligencia de carabineros
luis cruz martinez | affected by | carcel buen pastor de iquique
patricio lynch | affected by | carcel publica de arica
blas barraza quinteros | affected by | carabineros
juan antonio munoz munoz | affected by | carabineros
luis alberto lizardi lizardi | member | militantes socialistas
marcelo omar guzman fuentes | member | militantes socialistas
nolberto jesus canas | member | militantes socialistas
juan jimenez vidal | member | militantes socialistas
freddy taberna gallegos | member | militantes socialistas
jose demostenes rosier sampson ocaranza | member | militantes socialistas
juan a. ruz diaz | member | militantes socialistas
rodolfo jacinto fuenzalida fernandez | member | militantes socialistas
agusto german elidio palominos lamas | member | militantes socialistas
luis alberto lizardi lizardi | affected by | campamento de prisioneros de pisagua
marcelo omar guzman fuentes | affected by | campamento de prisioneros de pisagua
gerardo poblete | affected by | carabineros
nelson jose marquez | affected by | pisagua
luis alberto toro castillo | affected by | pisagua
alberto amador yanez carvajal | affected by | pisagua
manuel eduardo sanhueza mellado | affected by | pisagua
marcelino lamas largo | affected by | pisagua
salvador cautivo ahumada | affected by | dina
hugo grober venegas islas | affected by | centro de inteligencia regional
patricio padilla villar | member | ejercito de chile
jose luis catalan reyes | member | ejercito de chile
jose lautaro vignolo quezada | member | ejercito de chile
patricio padilla villen | member | ejercito de chile
grober venegas isla | affected by | cire
salvador cautivo ahumada | affected by | carabineros
juan efrain calderon villalon | member | partido socialista
nolberto canas canas | member | partido socialista
michel salim nash saez | other | partido comunista
patricio padilla villen | chief | cire
jose lautaro vignolo quezada | member | cire
jose luis catalan reyes | member | cire
hugo grober venegas islas | affected by | servicio de inteligencia militar (sim)
hugo grober venegas islas | other | centros de inteligencia regional (cire)
hugo grober venegas islas | other | comando conjunto
manuel eduardo sanhueza mellado | affected by | ejercito de chile
nelson munoz morales | chief | vicaria de la solidaridad
hernan sanchez marre | chief | corte de apelaciones de iquique
patricio aylwin | chief | corporacion nacional de reparacion y reconciliacion
mario carroza | chief | corte de apelaciones de iquique
monica olivares | chief | corte de apelaciones de iquique
adil brkovic | chief | corte de apelaciones de iquique
freddy taberna gallegos | member | mir
juan antonio ruz diaz | member | mir
rodolfo jacinto fuenzalida fernandez | member | mir
agusto german elidio palominos lamas | member | mir
unspecified hombre | affected by | cni
augusto pinochet ugarte | chief | pinochet
augusto pinochet ugarte | other | corporacion de derechos humanos y sitios de la memoria de tarapaca
yasna provoste campillay | chief | ministerio secretaria general de la presidencia
rodrigo gonzalez lopez | chief | ministerio secretaria general de la presidencia
anyelina rojas valdes | other | comision chilena de dd.hh. capitulo iquique
unspecified detenido | affected by | dina
hombre detenido en noviembre de 1975 | affected by | interrogation
mujer detenida | affected by | torture
hombre detenido en noviembre de 1975 | cause of | russian roulette
hombre detenido en noviembre de 1975 | affected by | russian roulette
mujer detenida | affected by | execution witnessing
juan valencia hinojosa | affected by | fusilamiento
jose humberto lizardi flores | affected by | fusilamiento
mario morris barrios | affected by | fusilamiento
jose rufino cordova croxatto | affected by | fusilamiento
julio cesar cabezas gacitua | affected by | fusilamiento
freddy taberna gallegos | affected by | fusilamiento
manuel delano | affected by | execution
pedro arancibia | affected by | imprisonment
francisco prieto | cause of | appointment
felix morales cortes | affected by | death
freddy taberna gallegos | affected by | death
nelson munoz morales | cause of | discovery
unspecified hombre | affected by | detenido en octubre
unspecified hombre | affected by | detenido en septiembre
unspecified hombre | affected by | detenido en septiembre
unspecified hombre | affected by | detenido en septiembre
felipe valenzuela | affected by | hallazgo de osamentas
francisco prieto | affected by | hallazgo de osamentas
alberto neumann lagos | cause of | hallazgo de osamentas
patricio aylwin | cause of | hallazgo de osamentas
patricio aylwin | cause of | interposicion de denuncia por inhumacion ilegal
augusto pinochet ugarte | cause of | deportacion de comunistas
julio cesar cabezas gacitua | cause of | investigacion de conexiones entre traficantes de cocaina y poder judicial
haroldo quinteros | affected by | condena a muerte de haroldo quinteros
unspecified hombre | affected by | detention
unspecified hombre | affected by | detention
unspecified hombre | affected by | exposure to extreme temperatures
unspecified hombre | affected by | exposure to extreme temperatures
marcelo omar guzman fuentes | affected by | fusilamiento
nolberto jesus canas | affected by | fusilamiento
michel selim nash saez | affected by | fusilamiento
juan jimenez vidal | affected by | fusilamiento
julio c. cabezas gacitua | affected by | fusilamiento
jose r. cordova croxato | affected by | fusilamiento
juan valencia hinojosa | affected by | fusilamiento
mario morris barrios | affected by | fusilamiento
jose humberto lizardi flores | affected by | fusilamiento
freddy taberna gallegos | affected by | fusilamiento
jose demostenes rosier sampson ocaranza | affected by | fusilamiento
juan a. ruz diaz | affected by | fusilamiento
rodolfo jacinto fuenzalida fernandez | affected by | fusilamiento
manuel eduardo sanhueza mellado | affected by | muerto en tortura
pilo durana | unspecified | detention at carcel publica de arica
marcelo omar guzman fuentes | cause of | selection
nolberto jesus canas | cause of | selection
michael nash | cause of | selection
juan efrain calderon villalon | cause of | selection
luis alberto lizardi lizardi | cause of | selection
juan jimenez vidal | cause of | selection
murillo unspecified | affected by | execution
unspecified hombre | affected by | detenido en septiembre
unspecified hombre | affected by | detenido en septiembre
unspecified hombre | affected by | detenido en septiembre
unspecified hombre | affected by | detenido en septiembre
unspecified hombre | affected by | detenido en noviembre
luis pino soto | affected by | disappearance of luis pino soto
pilo durana | cause of | attack at iglesia del carmen
luis alberto lizardi lizardi | cause of | death
marcelo omar guzman fuentes | cause of | death
nolberto jesus canas | cause of | death
michel selim nash saez | cause of | death
unspecified hombre | affected by | detenido en septiembre de 1973
unspecified hombre | affected by | detenido en septiembre de 1973
unspecified mujer | affected by | detenida en enero de 1974
unspecified hombre | affected by | detenido en enero de 1975
unspecified hombre | affected by | detenido en diciembre de 1983
carabinero unspecified | affected by | detenido en septiembre
sargento unspecified | affected by | detenido en diciembre
subteniente unspecified | affected by | detenido en octubre
mario morris barrios | affected by | hallazgo de pisagua
jose r. cordova croxato | affected by | hallazgo de pisagua
jose humberto lizardi flores | affected by | hallazgo de pisagua
erick claussen sparenberg | affected by | detention
manuel araya zavala | affected by | disappearance
oscar walter pedro ripollcodoceo | affected by | execution
julio gaston valenzuela bastias | affected by | execution
manuel francisco donoso danobeitia | affected by | execution
gerardo poblete | cause of | arrest
gerardo poblete | affected by | death
nelson caucoto | unspecified | death
blas espinoza barraza | unspecified | death
gerardo poblete | affected by | detention
gerardo poblete | cause of | death
gustavo erme san martin ravanal | unspecified | death
enzo meniconi lorca | unspecified | death
hugo grober venegas islas | affected by | disappearance
patricio padilla villen | cause of | execution
miguel nash | affected by | transfer
juan antonio ruz diaz | affected by | transfer
marcelo omar guzman fuentes | affected by | execution
luis alberto lizardi lizardi | affected by | execution
norberto canas | affected by | execution
julio cesar cabezas gacitua | affected by | execution
juan valencia hinojosa | affected by | execution
mario morris barrios | affected by | execution
jose humberto lizardi flores | affected by | execution
jose rufino cordova croxatto | affected by | execution
freddy taberna gallegos | affected by | execution
jose demostenes rosier sampson ocaranza | affected by | execution
rodolfo jacinto fuenzalida fernandez | affected by | execution
michel selim nash saez | affected by | michel nash
jorge rogelio marin rossel | affected by | jorge marin rossel
williams millar sanhueza | affected by | williams millar sanhueza
manuel araya zavala | affected by | manuel heriberto araya zavala
pedro prado ortiz | affected by | muerte
gabriel gonzalez videla | affected by | utilization
carlos ibanez del campo | affected by | utilization
nelson bravo ramirez | affected by | declaration
luis emilio morales marino | affected by | declaration
hugo grober venegas islas | unspecified | disappearance
luis angel medina henriquez | unspecified | disappearance
julio cesar cabezas gacitua | affected by | ejecucion
mario morris barrios | affected by | ejecucion
juan valencia hinojosa | affected by | ejecucion
jose r. cordova croxato | affected by | ejecucion
jose humberto lizardi flores | affected by | ejecucion
isaias higueras zuniga | affected by | isaias higueras zuniga
hugo tomas martinez guillen | affected by | hugo martinez guillen
juan orlando rojas osega | affected by | juan rojas osega
alberto amador yanez carvajal | affected by | alberto yanez carvajal
juan efrain calderon villalon | affected by | fusilamiento
julio cesar cabezas gacitua | affected by | fusilamiento
freddy taberna gallegos | affected by | fusilamiento
jose demostenes rosier sampson ocaranza | affected by | fusilamiento
juan antonio ruz diaz | affected by | fusilamiento
rodolfo jacinto fuenzalida fernandez | affected by | fusilamiento
agusto german elidio palominos lamas | affected by | fusilamiento
luis alberto toro castillo | affected by | ejecutado
alberto amador yanez carvajal | affected by | ejecutado
marcelino lamas largo | affected by | ejecutado
luis alberto lizardi lizardi | affected by | fusilado
marcelo omar guzman fuentes | affected by | fusilado
nolberto jesus canas | affected by | fusilado
michel selim nash saez | affected by | fusilado
juan efrain calderon villalon | affected by | fusilado
juan jimenez vidal | affected by | fusilado
gerardo poblete | affected by | death
blas espinoza barraza | cause of | consejo de guerra
froilan moncada saez | cause of | consejo de guerra
enzo meniconi lorca | cause of | consejo de guerra
rodolfo jacinto fuenzalida fernandez | cause of | consejo de guerra
juan antonio ruz diaz | cause of | consejo de guerra
jose demostenes rosier sampson ocaranza | cause of | consejo de guerra
freddy taberna gallegos | cause of | consejo de guerra
isaias higueras zuniga | affected by | death
unspecified nun | unspecified | detenidos en campamento
alberto amador yanez carvajal | affected by | detenido
henry torres flores | affected by | detenido
manuel eduardo sanhueza mellado | affected by | detenido
pedro prado ortiz | unspecified | muerte
jorge rogelio marin rossel | affected by | detention
william robert millar sanhueza | affected by | detention
jorge rogelio marin rossel | cause of | disappearance
william robert millar sanhueza | cause of | disappearance
jorge rogelio marin rossel | cause of | death
william robert millar sanhueza | cause of | death
erick claussen sparenberg | affected by | detention center los condores
atiliano hernandez | affected by | condena
erick claussen sparenberg | affected by | base aerea los condores
luis pino soto | affected by | desaparicion de luis pino soto
luis cruz martinez | affected by | carcel buen pastor
patricio lynch | affected by | carcel publica de arica
blas barraza quinteros | affected by | detention
froilan moncada saez | affected by | detention
luis alberto lizardi lizardi | affected by | fusilamiento
marcelo omar guzman fuentes | affected by | fusilamiento
nolberto jesus canas | affected by | fusilamiento
michel selim nash saez | affected by | fusilamiento
juan efrain calderon villalon | affected by | fusilamiento
juan jimenez vidal | affected by | fusilamiento
julio c. cabezas gacitua | unspecified | fusilamiento
jose r. cordova croxato | unspecified | fusilamiento
juan valencia hinojosa | unspecified | fusilamiento
mario morris barrios | unspecified | fusilamiento
jose humberto lizardi flores | unspecified | fusilamiento
freddy taberna gallegos | unspecified | fusilamiento
jose demostenes rosier sampson ocaranza | unspecified | fusilamiento
juan a. ruz diaz | unspecified | fusilamiento
rodolfo jacinto fuenzalida fernandez | unspecified | fusilamiento
agusto german elidio palominos lamas | unspecified | fusilamiento
manuel eduardo sanhueza mellado | unspecified | muerto en tortura
marcelino lamas largo | unspecified | ejecutado
luis alberto lizardi lizardi | affected by | execution
marcelo omar guzman fuentes | affected by | execution
nolberto jesus canas | affected by | execution
gerardo poblete | affected by | death
blas espinoza barraza | cause of | death
froilan moncada saez | cause of | death
enzo meniconi lorca | cause of | death
luis alberto lizardi lizardi | affected by | martires de pisagua
marcelo omar guzman fuentes | affected by | martires de pisagua
nolberto jesus canas | affected by | martires de pisagua
michel selim nash saez | affected by | martires de pisagua
juan efrain calderon villalon | affected by | martires de pisagua
juan jimenez vidal | affected by | martires de pisagua
jose demostenes rosier sampson ocaranza | affected by | jose sampson ocaranza
juan a. ruz diaz | affected by | juan a ruz diaz
rodolfo jacinto fuenzalida fernandez | affected by | rodolfo fuenzalida fernandez
agusto german elidio palominos lamas | affected by | german palominos lamas
nelson jose marquez | affected by | nelson marquez
luis alberto toro castillo | affected by | luis toro castillo
alberto amador yanez carvajal | affected by | alberto yanez carvajal
manuel eduardo sanhueza mellado | affected by | manuel sanhueza mellado
marcelino lamas largo | affected by | marcelino lamas largo
salvador cautivo ahumada | affected by | death
hugo grober venegas islas | affected by | death
patricio padilla villar | cause of | sentencing
jose luis catalan reyes | cause of | sentencing
jose lautaro vignolo quezada | cause of | sentencing
hugo grober venegas islas | affected by | secuestro de grober venegas
patricio padilla villen | cause of | sentencia de primera instancia
jose luis catalan reyes | cause of | sentencia de primera instancia
jose lautaro vignolo quezada | cause of | sentencia de primera instancia
rodrigo olavarria | unspecified | sentencia de primera instancia
hugo grober venegas islas | affected by | detention
hugo grober venegas islas | cause of | execution
salvador cautivo ahumada | affected by | death
juan efrain calderon villalon | affected by | execution
nolberto canas canas | affected by | execution
juan jimenez vidal | affected by | execution
michel salim nash saez | affected by | execution
hugo grober venegas islas | affected by | disappearance of grober venegas islas
manuel eduardo sanhueza mellado | affected by | discovery of clandestine grave
nelson munoz morales | cause of | discovery of clandestine grave
mario carroza | unspecified | discovery of clandestine grave
luis rojas valenzuela | affected by | execution of luis fernando rojas valenzuela
juan efrain calderon villalon | affected by | execution of juan calderon villalon
jose humberto lizardi flores | affected by | fusilamiento
freddy taberna gallegos | affected by | fusilamiento
jose demostenes rosier sampson ocaranza | affected by | fusilamiento
juan antonio ruz diaz | affected by | fusilamiento
rodolfo jacinto fuenzalida fernandez | affected by | fusilamiento
agusto german elidio palominos lamas | affected by | fusilamiento
nelson jose marquez | affected by | ejecutado
luis alberto toro castillo | affected by | ejecutado
villa grimaldi | is contained in | estadio nacional
calama | is contained in | cerro chena
pisagua | is contained in | buenos aires
pisagua | is contained in | iquique
valparaiso | is contained in | iquique
pisagua | is contained in | pacific ocean
pisagua | is contained in | chile
iquique | is contained in | chile
estadio nacional | is contained in | cerro chena
isla quiriquina | is contained in | base aerea cerro moreno
comisaria de chol-chol | is contained in | comisaria de chol-chol
colonia dignidad | is contained in | iquique
campo de detencion de pisagua | is contained in | pisagua
campo de detencion de pisagua | is contained in | quillagua viejo
campo de detencion de pisagua | is contained in | iquique
campo de detencion de pisagua | is contained in | pozo almonte
quillagua viejo | is contained in | iquique
pozo almonte | is contained in | iquique
valparaiso | is contained in | pisagua
alemania | is contained in | pisagua
iquique | is contained in | pisagua
desierto de atacama | is contained in | pisagua
pisagua | is contained in | pisagua
pisagua | is contained in | alemania
pisagua | is contained in | colonia dignidad
estadio regional de concepcion | is contained in | fuerte borgono
regimiento n 14 de aysen | is contained in | campo de prisioneros chacabuco
pisagua | is contained in | independencia
iglesia del carmen | is contained in | calle yungay
iglesia del carmen | is contained in | calle colon
iglesia del carmen | is contained in | calle baquedano
iglesia del carmen | is contained in | patricio lynch
batallon logistico n° 6 pisagua | is contained in | pisagua
campamento de prisioneros de pisagua | is contained in | pisagua
pisagua | is contained in | valparaiso
chol chol | is contained in | salamanca
cochrane | is contained in | salamanca
valdivia | is contained in | valdivia
calle luis cruz martinez nº 1260 | is contained in | calle luis cruz martinez nº 1260
colon nº 30 | is contained in | colon nº 30
calle andres bello | is contained in | colon nº 30
pasaje el morro | is contained in | colon nº 30
londres 38 | is contained in | villa grimaldi
general mackenna | is contained in | general mackenna
rahue | is contained in | rahue
talca | is contained in | talca
san felipe | is contained in | san felipe
pisagua | is contained in | arica
pisagua | is contained in | cementerio de pisagua
calle luis cruz martinez | is contained in | cementerio de iquique
campamento de prisioneros de pisagua | is contained in | batallon logistico n° 6 pisagua
base aerea los condores | is contained in | batallon logistico n° 6 pisagua
valle de azapa | is contained in | arica
cuartel de investigaciones | is contained in | arica
regimiento rancagua | is contained in | arica
pisagua | is contained in | cuartel de investigaciones
pisagua | is contained in | regimiento rancagua
iquique | is contained in | plaza brasil
colegio don bosco | is contained in | iquique
rotonda camino azapa | is contained in | valle de azapa
alto ramirez | is contained in | valle de azapa
caleta de pisagua | is contained in | avenida thompson
caleta de pisagua | is contained in | salvador allende
caleta de pisagua | is contained in | calle oscar quina
pisagua | is contained in | regimiento de telecomunicaciones
iquique | is contained in | regimiento de telecomunicaciones
arica | is contained in | regimiento rancagua
regimiento militar | is contained in | la chancheria
regimiento militar | is contained in | museo de la memoria y los derechos humanos
avenida luis emilio recabarren | is contained in | iquique
ex carcel publica | is contained in | hotel de pisagua
mercado | is contained in | teatro municipal
escuela | is contained in | campamento de prisioneros
escuela | is contained in | multicancha deportiva
regimiento de telecomunicaciones | is contained in | caleta de pisagua
supermercado | is contained in | caleta de pisagua
cooperativa de consumo norte grande limitada coopenor | is contained in | cuartel general de la sexta division del ejercito
calle angamos | is contained in | valle de azapa
san miguel | is contained in | iquique
tarapaca | is contained in | iquique
pisagua | is contained in | tarapaca
calama | is contained in | iquique
buen pastor | is contained in | iquique
las machas | is contained in | carcel publica
el supermercado | is contained in | teatro del pueblo
carcel | is contained in | teatro del pueblo
cementerio de pisagua | is contained in | pisagua
colegio don bosco | is contained in | la comisaria de carabineros de iquique
carcel de iquique | is contained in | la comisaria de carabineros de iquique
regimiento de telecomunicaciones | is contained in | pisagua
carcel | is contained in | regimientos
avenida santa maria | is contained in | industria abandonada frente a la ex citroen
las dunas | is contained in | campamento camping las machas
calama | is contained in | pisagua
avenida salvador allende | is contained in | iquique
cementerio 3 | is contained in | avenida salvador allende
ferrocarriles del estado de iquique | is contained in | regimiento de telecomunicaciones de iquique
cementerio n° 3 | is contained in | regimiento de telecomunicaciones de iquique
batallon logistico n° 6 pisagua | is contained in | campamento de prisioneros de pisagua
comisaria de carabineros no 3 de arica | is contained in | avenida loa
comisaria de carabineros no 3 de arica | is contained in | pampa chinchorro
base aerea los condores | is contained in | iquique
batallon logistico n 6 pisagua | is contained in | iquique
comisaria | is contained in | calle azola
carcel buen pastor de iquique | is contained in | calle luis cruz martinez nº 1260
carcel publica de arica | is contained in | calle baquedano nº 01, poblacion el morro
pedro lagos | is contained in | iquique
avenida st maria | is contained in | arica
pisagua | is contained in | las machas
buen pastor | is contained in | calle luis cruz martinez
carcel publica | is contained in | calle baquedano
avenida thompson | is contained in | soldado pedro prado
carcel | is contained in | el supermercado
comisaria | is contained in | prefectura de carabineros
colegio don bosco | is contained in | comisaria
centro penitenciario de alto hospicio | is contained in | colegio don bosco
pisagua | is contained in | campamento camping las machas
calle yungay | is contained in | arica
buen pastor | is contained in | arica
carrera pinto | is contained in | arica
diego portales | is contained in | arica
cuartel de la policia de investigaciones | is contained in | avenida diego portales
valle de azapa | is contained in | azapa
valle de azapa | is contained in | avda diego portales
azapa | is contained in | arica
azapa | is contained in | avda diego portales
arica | is contained in | avda diego portales
avenida diego portales | is contained in | arica
avda diego portales | is contained in | arica
valle de azapa | is contained in | valle de azapa
mercado | is contained in | pisagua
teatro municipal | is contained in | pisagua
ex-carcel publica | is contained in | pisagua
oficina salitrera victoria | is contained in | cuartel de investigaciones iquique
iquique | is contained in | iquique
carcel publica de arica | is contained in | avenida diego portales
valparaiso | is contained in | chile
tarapaca | is contained in | chile
londres 38 | is contained in | valdivia
pisagua | is contained in | huara
osorno | is contained in | osorno
linares | is contained in | linares
curanilahue | is contained in | curanilahue
pisagua | is contained in | carabineros
talca | is contained in | villa grimaldi
santiago | is contained in | las salinas
las salinas | is contained in | calama
calama | is contained in | villa grimaldi
puerto aysen | is contained in | punta arenas
villa grimaldi | is contained in | regimiento talca
escuela | is contained in | puerto de pisagua
multicancha deportiva | is contained in | puerto de pisagua
fosa | is contained in | puerto de pisagua
mercado | is contained in | puerto de pisagua
teatro municipal | is contained in | puerto de pisagua
ex carcel publica | is contained in | puerto de pisagua
estadio nacional | is contained in | recinto de la dina de la ex iglesia divina providencia
carcel del buen pastor | is contained in | regimiento arica
casas corvi | is contained in | villa grimaldi
regimiento de ingenieros de tejas verdes | is contained in | villa grimaldi
arica | is contained in | iquique
cuartel borgono | is contained in | cuartel borgono
carcel de arica | is contained in | calle libertad
carcel de mujeres buen pastor | is contained in | carcel de arica
comisaria carabineros carlos dittborn | is contained in | prefectura carabineros
cuartel de investigaciones | is contained in | prefectura carabineros
industria abandonada frente a la ex citroen | is contained in | avenida santa maria 2936
recinto cni calle azola | is contained in | azola
recinto cni camino azapa | is contained in | azola
futrono | is contained in | chihui
calama | is contained in | tocopilla
mutrun | is contained in | cuesta de chada
constitucion | is contained in | santiago
paine | is contained in | cuesta de chada
recinto cni | is contained in | calle azola
recinto cni | is contained in | camino a azapa s/n, parcela nº 35 poblacion san miguel de azapa
calle diego portales s/n | is contained in | calle azola
carcel publica de iquique | is contained in | carcel publica de iquique
chacabuco | is contained in | collipulli
la providencia | is contained in | collipulli
